id,name,type,image,sound,phonemeSound
jewel,jewel,4,eng/image/jewel.png,eng/audio/jewel.ogg,eng/audio/jewel.ogg
oil,oil,4,eng/image/oil.png,eng/audio/oil.ogg,eng/audio/oil.ogg
caterpillar,caterpillar,4,eng/image/caterpillar.png,eng/audio/caterpillar.ogg,eng/audio/caterpillar.ogg
jelly,jelly,4,eng/image/jelly.png,eng/audio/jelly.ogg,eng/audio/jelly.ogg
wife,wife,4,eng/image/wife.png,eng/audio/wife.ogg,eng/audio/wife.ogg
calf,calf,4,eng/image/calf.png,eng/audio/calf.ogg,eng/audio/calf.ogg
rhubarb,rhubarb,4,eng/image/rhubarb.png,eng/audio/rhubarb.ogg,eng/audio/rhubarb.ogg
aubergine,aubergine,4,eng/image/aubergine.png,eng/audio/aubergine.ogg,eng/audio/aubergine.ogg
spinach,spinach,4,eng/image/spinach.png,eng/audio/spinach.ogg,eng/audio/spinach.ogg
mother in law,mother in law,4,eng/image/mother in law.png,eng/audio/mother in law.ogg,eng/audio/mother in law.ogg
day,day,4,eng/image/day.png,eng/audio/day.ogg,eng/audio/day.ogg
cheetah,cheetah,4,eng/image/cheetah.png,eng/audio/cheetah.ogg,eng/audio/cheetah.ogg
shallot,shallot,4,eng/image/shallot.png,eng/audio/shallot.ogg,eng/audio/shallot.ogg
dust storm,dust storm,4,eng/image/dust storm.png,eng/audio/dust storm.ogg,eng/audio/dust storm.ogg
tomorrow morning,tomorrow morning,4,eng/image/tomorrow morning.png,eng/audio/tomorrow morning.ogg,eng/audio/tomorrow morning.ogg
cucumber,cucumber,4,eng/image/cucumber.png,eng/audio/cucumber.ogg,eng/audio/cucumber.ogg
chilli,chilli,4,eng/image/chilli.png,eng/audio/chilli.ogg,eng/audio/chilli.ogg
knee,knee,4,eng/image/knee.png,eng/audio/knee.ogg,eng/audio/knee.ogg
pink,pink,4,eng/image/pink.png,eng/audio/pink.ogg,eng/audio/pink.ogg
back,back,4,eng/image/back.png,eng/audio/back.ogg,eng/audio/back.ogg
detergent,detergent,4,eng/image/detergent.png,eng/audio/detergent.ogg,eng/audio/detergent.ogg
area,area,4,eng/image/area.png,eng/audio/area.ogg,eng/audio/area.ogg
book case,book case,4,eng/image/book case.png,eng/audio/book case.ogg,eng/audio/book case.ogg
crow,crow,4,eng/image/crow.png,eng/audio/crow.ogg,eng/audio/crow.ogg
cabinet,cabinet,4,eng/image/cabinet.png,eng/audio/cabinet.ogg,eng/audio/cabinet.ogg
car,car,4,eng/image/car.png,eng/audio/car.ogg,eng/audio/car.ogg
xerox,xerox,4,eng/image/xerox.png,eng/audio/xerox.ogg,eng/audio/xerox.ogg
courgette,courgette,4,eng/image/courgette.png,eng/audio/courgette.ogg,eng/audio/courgette.ogg
liter,liter,4,eng/image/liter.png,eng/audio/liter.ogg,eng/audio/liter.ogg
tomorrow night,tomorrow night,4,eng/image/tomorrow night.png,eng/audio/tomorrow night.ogg,eng/audio/tomorrow night.ogg
octopus,octopus,4,eng/image/octopus.png,eng/audio/octopus.ogg,eng/audio/octopus.ogg
speaker,speaker,4,eng/image/speaker.png,eng/audio/speaker.ogg,eng/audio/speaker.ogg
face,face,4,eng/image/face.png,eng/audio/face.ogg,eng/audio/face.ogg
night,night,4,eng/image/night.png,eng/audio/night.ogg,eng/audio/night.ogg
month,month,4,eng/image/month.png,eng/audio/month.ogg,eng/audio/month.ogg
toad,toad,4,eng/image/toad.png,eng/audio/toad.ogg,eng/audio/toad.ogg
pear,pear,4,eng/image/pear.png,eng/audio/pear.ogg,eng/audio/pear.ogg
centipede,centipede,4,eng/image/centipede.png,eng/audio/centipede.ogg,eng/audio/centipede.ogg
iron,iron,4,eng/image/iron.png,eng/audio/iron.ogg,eng/audio/iron.ogg
